frame,tracker_id,meas_x,meas_y,meas_w,meas_h,smooth_x,smooth_y,smooth_w,smooth_h,ok,reinit_attempted,reinit_success,reinit_failed
73,2,741.0,464.0,49.0,48.0,743.8343868255615,464.3014392852783,49.03166580200195,48.03219223022461,True,False,False,False
74,1,533.0,476.0,169.0,59.0,533.43359375,476.38854217529297,168.6441650390625,58.76136779785156,True,False,False,False
74,2,741.0,469.0,50.0,49.0,745.2298316955566,469.117151260376,49.29326629638672,48.29365158081055,True,False,False,False
75,1,534.0,476.0,169.0,59.0,534.2007751464844,476.2576141357422,168.74029541015625,58.825836181640625,True,False,False,False
75,2,740.0,464.0,51.0,50.0,744.4551601409912,467.49606704711914,49.75435256958008,48.75463104248047,True,False,False,False
76,1,534.0,476.0,169.0,59.0,534.4950408935547,476.15739822387695,168.81045532226562,58.872886657714844,True,False,False,False
76,2,732.0,462.0,51.0,50.0,737.0019874572754,464.583948135376,50.09087371826172,49.0910758972168,True,False,False,False
77,1,535.0,476.0,169.0,59.0,535.3097686767578,476.0885925292969,168.86166381835938,58.9072265625,True,False,False,False
77,2,732.0,458.0,52.0,51.0,733.1286277770996,459.98878288269043,50.60663604736328,49.60678482055664,True,False,False,False
78,1,535.0,476.0,169.0,59.0,535.5961380004883,476.04560470581055,168.89903259277344,58.932289123535156,True,False,False,False
78,2,732.0,459.0,52.0,51.0,731.3264007568359,458.4889450073242,50.983062744140625,49.98316955566406,True,False,False,False
79,1,536.0,476.0,169.0,59.0,536.3826675415039,476.0212001800537,168.9263153076172,58.95058059692383,True,False,False,False
79,2,740.0,453.0,52.0,51.0,737.0191135406494,453.3064880371094,51.25779342651367,50.25787353515625,True,False,False,False
80,1,534.0,475.0,173.0,60.0,536.0988845825195,475.4819850921631,170.02684020996094,59.23408889770508,True,False,False,False
80,2,737.0,468.0,51.0,50.0,737.4596366882324,462.58729362487793,51.188148498535156,50.18820571899414,True,False,False,False
81,1,537.0,476.0,173.0,60.0,538.0344924926758,475.9740467071533,170.83006286621094,59.44100570678711,True,False,False,False
81,2,744.0,468.0,51.0,50.0,743.0271663665771,467.60572814941406,51.1373176574707,50.137359619140625,True,False,False,False
82,1,537.0,476.0,173.0,60.0,538.7377777099609,476.2124729156494,171.41629028320312,59.59202194213867,True,False,False,False
82,2,744.0,468.0,51.0,50.0,745.5693969726562,469.79759216308594,51.1002197265625,50.100250244140625,True,False,False,False
83,1,538.0,476.0,173.0,60.0,539.5334320068359,476.28807067871094,171.84414672851562,59.702239990234375,True,False,False,False
83,2,738.0,471.0,51.0,50.0,741.6138801574707,472.6990432739258,51.073143005371094,50.07316589355469,True,False,False,False
84,1,540.0,476.0,173.0,60.0,541.1740570068359,476.27440071105957,172.15640258789062,59.78268051147461,True,False,False,False
84,2,739.0,474.0,50.0,49.0,739.7263679504395,475.66465187072754,50.783226013183594,49.78324508666992,True,False,False,False
85,1,539.0,476.0,173.0,60.0,540.8800506591797,476.22221755981445,172.38430786132812,59.841392517089844,True,False,False,False
85,2,739.0,473.0,50.0,49.0,738.7450675964355,475.7545509338379,50.571632385253906,49.57164764404297,True,False,False,False
86,1,539.0,476.0,173.0,60.0,540.3980178833008,476.16182136535645,172.55064392089844,59.88424301147461,True,False,False,False
86,2,741.0,475.0,50.0,49.0,739.9244556427002,476.7676200866699,50.41720199584961,49.417213439941406,True,False,False,False
87,1,539.0,476.0,173.0,60.0,539.9280166625977,476.1083736419678,172.6720428466797,59.9155158996582,True,False,False,False
87,2,741.0,475.0,51.0,50.0,740.880521774292,477.069543838501,50.574649810791016,49.57465744018555,True,False,False,False
88,1,538.0,476.0,173.0,60.0,538.770622253418,476.06742095947266,172.76063537597656,59.93833923339844,True,False,False,False
